# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:13:29 UTC;xvdb;1410.45;90280.00;0.00;64.01;1.63;1.15;0.32;45.45
ip-10-8-14-181;2;2012-03-08 22:13:29 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:29 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:29 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:30 UTC;xvdap1;1.31;0.00;27.95;21.33;0.03;26.67;26.67;3.49
ip-10-8-14-181;2;2012-03-08 22:13:30 UTC;xvdb;1227.51;78550.22;0.00;63.99;1.58;1.29;0.36;43.67
ip-10-8-14-181;2;2012-03-08 22:13:30 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:30 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:30 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:31 UTC;xvdap1;1.59;0.00;33.86;21.33;0.05;29.33;29.33;4.66
ip-10-8-14-181;2;2012-03-08 22:13:31 UTC;xvdb;1515.34;96982.01;0.00;64.00;1.91;1.26;0.35;52.91
ip-10-8-14-181;2;2012-03-08 22:13:31 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:31 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:31 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:32 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 22:13:32 UTC;xvdb;1709.14;109419.35;0.00;64.02;1.92;1.12;0.31;53.76
ip-10-8-14-181;2;2012-03-08 22:13:32 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:32 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:32 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:33 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 22:13:33 UTC;xvdb;1746.77;111759.14;0.00;63.98;1.92;1.10;0.31;53.76
ip-10-8-14-181;2;2012-03-08 22:13:33 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:33 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:33 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:34 UTC;xvdap1;1.60;0.00;29.79;18.67;0.04;26.67;26.67;4.26
ip-10-8-14-181;2;2012-03-08 22:13:34 UTC;xvdb;1763.30;112863.83;0.00;64.01;1.89;1.07;0.30;53.19
ip-10-8-14-181;2;2012-03-08 22:13:34 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:34 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:34 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:35 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 22:13:35 UTC;xvdb;1689.25;108111.83;0.00;64.00;1.94;1.15;0.32;53.76
ip-10-8-14-181;2;2012-03-08 22:13:35 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:35 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:35 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:36 UTC;xvdap1;1.60;0.00;34.04;21.33;0.04;26.67;26.67;4.26
ip-10-8-14-181;2;2012-03-08 22:13:36 UTC;xvdb;1643.09;105144.68;0.00;63.99;1.91;1.17;0.32;53.19
ip-10-8-14-181;2;2012-03-08 22:13:36 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:36 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:36 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:37 UTC;xvdap1;1.60;0.00;34.04;21.33;0.05;29.00;29.00;4.63
ip-10-8-14-181;2;2012-03-08 22:13:37 UTC;xvdb;1475.00;94412.77;0.00;64.01;1.93;1.31;0.36;53.19
ip-10-8-14-181;2;2012-03-08 22:13:37 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
