# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 00:43:24 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:25 UTC;xvdap1;1.52;0.00;40.40;26.67;0.05;33.67;33.67;5.10
ip-10-8-14-181;2;2012-03-08 00:43:25 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:25 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:25 UTC;xvdd;50.51;404.04;1212.12;32.00;0.16;3.12;2.40;12.12
ip-10-8-14-181;2;2012-03-08 00:43:25 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:26 UTC;xvdap1;1.52;0.00;28.43;18.67;0.03;17.00;17.00;2.59
ip-10-8-14-181;2;2012-03-08 00:43:26 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:26 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:26 UTC;xvdd;50.76;406.09;1218.27;32.00;0.14;2.71;2.26;11.47
ip-10-8-14-181;2;2012-03-08 00:43:26 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:27 UTC;xvdap1;1.52;0.00;32.32;21.33;0.03;22.67;22.67;3.43
ip-10-8-14-181;2;2012-03-08 00:43:27 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:27 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:27 UTC;xvdd;50.51;404.04;1212.12;32.00;0.14;2.84;2.33;11.77
ip-10-8-14-181;2;2012-03-08 00:43:27 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:28 UTC;xvdap1;1.54;0.00;32.82;21.33;0.03;20.00;20.00;3.08
ip-10-8-14-181;2;2012-03-08 00:43:28 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:28 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:28 UTC;xvdd;51.28;410.26;1230.77;32.00;0.14;2.77;2.25;11.54
ip-10-8-14-181;2;2012-03-08 00:43:28 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:29 UTC;xvdap1;2.02;0.00;36.36;18.00;0.04;21.50;21.25;4.29
ip-10-8-14-181;2;2012-03-08 00:43:29 UTC;xvdb;0.51;0.00;4.04;8.00;0.00;3.00;3.00;0.15
ip-10-8-14-181;2;2012-03-08 00:43:29 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:29 UTC;xvdd;51.01;387.88;1224.24;31.60;0.18;3.36;2.64;13.48
ip-10-8-14-181;2;2012-03-08 00:43:29 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:30 UTC;xvdap1;1.52;0.00;36.36;24.00;0.04;25.00;25.00;3.79
ip-10-8-14-181;2;2012-03-08 00:43:30 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:30 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:30 UTC;xvdd;51.01;420.20;1212.12;32.00;0.16;3.19;2.39;12.17
ip-10-8-14-181;2;2012-03-08 00:43:30 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:31 UTC;xvdap1;1.52;0.00;32.49;21.33;0.03;19.67;19.67;2.99
ip-10-8-14-181;2;2012-03-08 00:43:31 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:31 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:31 UTC;xvdd;50.76;406.09;1218.27;32.00;0.16;3.19;2.40;12.18
ip-10-8-14-181;2;2012-03-08 00:43:31 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:32 UTC;xvdap1;1.52;0.00;36.36;24.00;0.03;22.33;22.33;3.38
ip-10-8-14-181;2;2012-03-08 00:43:32 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:32 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:32 UTC;xvdd;50.51;404.04;1212.12;32.00;0.15;3.00;2.32;11.72
ip-10-8-14-181;2;2012-03-08 00:43:32 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:33 UTC;xvdap1;1.51;0.00;36.18;24.00;0.03;22.33;22.33;3.37
ip-10-8-14-181;2;2012-03-08 00:43:33 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:33 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:33 UTC;xvdd;50.25;402.01;1206.03;32.00;0.16;3.24;2.56;12.86
ip-10-8-14-181;2;2012-03-08 00:43:33 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:34 UTC;xvdap1;1.52;0.00;36.55;24.00;0.04;28.00;28.00;4.26
ip-10-8-14-181;2;2012-03-08 00:43:34 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:34 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
